youtubeId,itemLabel,performerLabel,youtubeViews,year,genreLabel
TapXs54Ah3E,Ay Vamos,J Balvin,1759093175.0,2014.0,reggaeton
uxpDa-c-4Mc,Hotline Bling,Drake,1721267199.0,2015.0,"pop music, contemporary R&B"
QFs3PIZb3js,Propuesta Indecente,Romeo Santos,1709646124.0,2013.0,bachata
t4H_Zoh7G5A,On the Floor,Pitbull,1703075821.0,2011.0,dance music
31crA53Dgu0,Cheap Thrills,Sean Paul,1694555596.0,2015.0,"dancehall, synth-pop"
nYh-n7EOtMA,Cheap Thrills,Sean Paul,1694555596.0,2015.0,"dancehall, synth-pop, tropical house"
iOe6dI2JhgU,Vente Pa ca,Maluma,1690289094.0,2016.0,Latin pop
lWA2pjMjpBs,Diamonds,Rihanna,1689780546.0,2012.0,"electronic music, pop music, contemporary R&B"
Io0fBr1XBUA,Don't Let Me Down,Daya,1671792724.0,2016.0,"indie pop, EDM trap music"
0VR3dfZf9Yg,China,Ozuna,1664395936.0,2019.0,"reggaeton, electronic dance music"
yzTuBuRdAyA,The Hills,The Weeknd,1645030481.0,2015.0,alternative R&B
0HDdjwpPM3Y,Bang Bang,Nicki Minaj,1641826785.0,2014.0,pop music
xOazTYPrt64,Somebody That I Used to Know,Gotye,1641043436.0,2011.0,"alternative rock, art pop"
8UVNT4wvIGY,Somebody That I Used to Know,Gotye,1641043436.0,2011.0,"alternative rock, art pop"
UprcpdwuwCg,Heathens,Twenty One Pilots,1640177341.0,2016.0,rap rock
fKopy74weus,Thunder,Imagine Dragons,1638997916.0,2017.0,electropop
y7d9VLRO3vc,Déjala Que Vuelva,Piso 21,1614946319.0,2017.0,
oyEuk8j8imI,Love Yourself,Justin Bieber,1597510176.0,2015.0,"pop music, folk music, blue-eyed soul"
LjhCEhWiKXk,Just the Way You Are,Bruno Mars,1591214227.0,2010.0,"pop music, soft rock, contemporary R&B"
NGLxoKOvzu4,Swalla,Ty Dolla Sign,1590716639.0,2017.0,"dance music, dancehall"
tt2k8PGm-TI,Dusk Till Dawn,Zayn Malik,1583537133.0,2017.0,indie pop
rMY487y6YQI,November Rain,Guns N' Roses,1575778238.0,1992.0,hard rock
wfWkmURBNv8,El Farsante,Ozuna,1568597756.0,2017.0,Latin trap
AMTAQ-AJS4Y,Andas en Mi Cabeza,Chino & Nacho,1567942968.0,2016.0,
kXYiU_JCYtU,Numb,Linkin Park,1566130113.0,2003.0,"alternative rock, nu metal"
QK8mJJJvaes,Thrift Shop,Macklemore & Ryan Lewis,1547491286.0,2012.0,alternative hip hop
i6jCqPvLdkU,Titanium,Sia,1529009787.0,2011.0,"house music, pop music, dance music, urban contemporary"
JRfuAukYTKg,Titanium,Sia,1529009787.0,2011.0,"house music, pop music, dance music, urban contemporary"
q0hyYWKXF0Q,Dance Monkey,Tones and I,1528080949.0,2019.0,electropop
GmHrjFIWl6U,Você Partiu Meu Coração,Maluma,1524732370.0,2017.0,pop music
xTlNMmZKwpA,I Like It,Cardi B,1519090223.0,2018.0,Latin trap
weeI1G46q0o,I'm the One,Guyfour,1515222832.0,2017.0,"hip hop music, pop rap"
gCYcHz2k5x0,Animals,Martin Garrix,1479573782.0,2013.0,electro house
ebXbLfLACGM,Summer,Calvin Harris,1448997108.0,2014.0,"dance-pop, electro house"
aDCcLQto5BM,Me Rehúso,Danny Ocean,1448779265.0,2016.0,
CGyEd0aKWZE,Burn,Ellie Goulding,1445611805.0,2013.0,electropop
uO59tfQ2TbA,Hey Mama,Bebe Rexha,1441132634.0,2015.0,trap music
-UV0QGLmYys,La bicicleta,Carlos Vives,1434423808.0,2016.0,reggaeton
YykjpeuMNEk,Hymn for the Weekend,Beyoncé,1430006089.0,2016.0,"alternative rock, alternative R&B"
tbneQDc2H3I,Tusa,Karol G,1429610141.0,2019.0,reggaeton
QcIy9NiNbmo,Bad Blood,Kendrick Lamar,1422832719.0,2015.0,"hip hop music, pop music"
1G4isv_Fylg,Paradise,Coldplay,1418350040.0,2011.0,contemporary R&B
Mtau4v6foHA,Robarte un Beso,None,1408938421.0,2017.0,
ApXoWvfEYVU,Sunflower,Swae Lee,1400348829.0,2018.0,"pop music, contemporary R&B"
ASO_zypdnsQ,Gentleman,Psy,1391228316.0,2013.0,"pop music, K-pop, Eurodance, dance music, hip house, electro house, synth-pop"
UqyT8IEBkvY,24K Magic,Bruno Mars,1369409784.0,2016.0,electro
ru0K8uYEZWw,Can't Stop the Feeling!,Justin Timberlake,1368009627.0,2016.0,"pop music, funk"
QGeegGenTSw,Can't Stop the Feeling!,Justin Timberlake,1368009627.0,2016.0,"pop music, funk"
qrO4YZeyl0I,Bad Romance,Lady Gaga,1359768471.0,2009.0,"electropop, dance-pop"
c73Cu3TQnlg,Ahora dice,Chris Jedi,1350284214.0,2017.0,Latin trap
gFZfwWZV074,Secreto,Anuel AA,1349648994.0,2019.0,"pop music, reggaeton"
tAGnKpE4NCI,Nothing Else Matters,Metallica,1348123657.0,1992.0,hard rock
nCkpzqqog4k,I'm Not the Only One,Sam Smith,1344860559.0,2014.0,soul
YG2p6XBuSKA,El Amante,Nicky Jam,1342701036.0,2017.0,
foE1mO2yM04,I Took a Pill in Ibiza,SeeB,1340032097.0,2015.0,deep house
41GZVVcxQps,I Took a Pill in Ibiza,SeeB,1340032097.0,2015.0,deep house
VbfpW0pbvaU,Stitches,Shawn Mendes,1331591630.0,2015.0,pop music
hXI8RQYC36Q,El Perdón,Nicky Jam,1327737597.0,2015.0,Latin pop
KlyXNRrsk4A,Last Friday Night (T.G.I.F.),Katy Perry,1325798353.0,2011.0,dance-pop
9sg-A-eS6Ig,Súbeme La Radio,Descemer Bueno,1315821832.0,2017.0,Latin pop
VMp55KH_3wo,La Gozadera,Gente de Zona,1314571358.0,2015.0,"reggaeton, salsa"
o3mP3mJDL2k,Can't Remember to Forget You,Shakira,1303189275.0,2014.0,new wave
fWU3pEMPrHw,Can't Remember to Forget You,Shakira,1303189275.0,2014.0,new wave
QGJuMBdaqIw,Firework,Katy Perry,1300581009.0,2010.0,"dance-pop, synth-pop"
hHUbLv4ThOo,Timber,Pitbull,1277030120.0,2013.0,"dance-pop, electronic dance music, folktronica"
iS1g8G_njx8,Problem,Iggy Azalea,1276489692.0,2014.0,"dance-pop, contemporary R&B"
xpVfcZ0ZcFM,God's Plan,Drake,1276089609.0,2018.0,trap music
OpQFFLBMEPI,Just Give Me a Reason,Nate Ruess,1270546133.0,2013.0,pop music
ktvTqknDobU,Radioactive,Imagine Dragons,1260963818.0,2012.0,"alternative rock, electronic rock"
L3wKzyIN1yk,Human,Rag'n'Bone Man,1256303286.0,2016.0,"blues, alternative rock, soul, blues rock, contemporary R&B"
0yW7w8F2TVA,Say You Won't Let Go,James Arthur,1256065667.0,2016.0,
hTWKbfoikeg,Smells Like Teen Spirit,Nirvana,1254478172.0,1991.0,
J_ub7Etch2U,Too Good at Goodbyes,Sam Smith,1251429794.0,2017.0,pop music
QJO3ROT-A4E,What Makes You Beautiful,One Direction,1246930947.0,2011.0,power pop
GzU8KqOY8YA,No Lie,Dua Lipa,1241999649.0,2016.0,"reggae, dancehall, dance music, reggae fusion, tropical music"
3tmd-ClpJxA,Look What You Made Me Do,Taylor Swift,1233363415.0,2017.0,"pop music, electropop, dance-pop, electroclash"
nfs8NYg7yQM,Carmen centurion,Charlie Puth,1229392782.0,2017.0,pop rock
iQEVguV71sI,No me acuerdo,Thalía,1227914867.0,2018.0,pop music
Bznxx12Ptl0,I'm an Albatraoz,AronChupa,1223417072.0,2014.0,electro house
PJniSb91tvo,El Perdedor,Maluma,1219530380.0,2016.0,reggaeton
1w7OgIMMRc4,Sweet Child o' Mine,Guns N' Roses,1216901217.0,1987.0,hard rock
HlEuo9aR7Qo,Sweet Child o' Mine,Guns N' Roses,1216901217.0,1987.0,hard rock
bdOXnTbyk0g,Darte un Beso,Prince Royce,1211848849.0,2014.0,bachata
dQw4w9WgXcQ,Never Gonna Give You Up,Rick Astley,1209222788.0,1987.0,"blue-eyed soul, dance-pop"
CTFtOOh47oo,Unforgettable,Swae Lee,1208415433.0,2017.0,
lBztnahrOFw,La Mordidita,Yotuel Romero,1204321503.0,2015.0,Latin pop
XbGs_qK2PQA,Rap God,Eminem,1197510848.0,2013.0,"rap, hip hop music"
RKioDWlajvo,Lehenga,Jass Manak,1175559470.0,-1.0,
XsX3ATc3FbA,Boy with Luv,Halsey,1172970476.0,2019.0,"funk, electropop, K-pop, bubblegum music, nu-disco"
62E_xyj_oDA,Boy with Luv,Halsey,1172970476.0,2019.0,"funk, electropop, K-pop, bubblegum music, nu-disco"
HL1UzIK-flA,Work,Rihanna,1168208357.0,2016.0,"rhythm and blues, dancehall, reggae fusion"
KEI4qSrkPAs,Can't Feel My Face,The Weeknd,1166250231.0,2015.0,pop music
eVTXPUF4Oz4,In the End,Linkin Park,1160664790.0,2001.0,rap rock
XkYAxGt-aUs,Dare (La La La),Shakira,1157874488.0,2014.0,dance-pop
7-7knsP2n5w,Dare (La La La),Shakira,1157874488.0,2014.0,dance-pop
QtXby3twMmI,Adventure of a Lifetime,Coldplay,1157790963.0,2015.0,pop music
BBAyRBTfsOU,Vaaste,Dhvani Bhanushali,1157711118.0,2019.0,Indian pop
OSUxrSe5GbI,Mia,Bad Bunny,1155299071.0,2018.0,
KWZGAExj-es,Elastic Heart,The Weeknd,1153191137.0,2013.0,pop music
LjxulQ1bEWg,Taste,Offset,1140043591.0,2018.0,hip hop music
bnVUHWCynig,Halo,Beyoncé,1137811081.0,2009.0,"pop music, contemporary R&B, synth-pop"
bpOSxM0rNPM,Do I Wanna Know?,Arctic Monkeys,1135306275.0,2013.0,indie rock
9MbXeqCbS4Q,As If It's Your Last,Blackpink,1123680715.0,2017.0,"reggae, house music, reggaeton, K-pop"
2S24-y0Ij3Y,Kill This Love,Blackpink,1117197131.0,2019.0,K-pop
V1Pl8CzNzCw,Lovely,Billie Eilish,1117148320.0,2018.0,pop music
Pw-0pbY9JeU,Ride,Twenty One Pilots,1113413718.0,2016.0,reggae
My2FRPA3Gf8,Wrecking Ball,Dolly Parton,1113026498.0,2013.0,"rock music, pop music, synth-pop"
-SttFgyRNCI,Symphony,Clean Bandit,1111451539.0,2017.0,dance-pop
aatr_2MstrI,Symphony,Clean Bandit,1111451539.0,2017.0,dance-pop
5qm8PH4xAss,In da Club,50 Cent,1109519730.0,2003.0,gangsta rap
LHCob76kigA,7 Years,Lukas Graham,1109068551.0,2015.0,soul
y6Sxv-sUYtM,Happy,Pharrell Williams,1095079394.0,2013.0,"soul, neo soul"
dPI-mRFEIH0,Bon Appétit,Migos,1094777892.0,2017.0,pop music
YVkUvmDQ3HY,Without Me,Eminem,1093642062.0,2002.0,comedy hip hop
bX3S-_jUauc,Nena maldición,Paulo Londra,1090272518.0,2018.0,"reggaeton, trap music, Latin ballad"
nSDgHBxUbVQ,Photograph,Ed Sheeran,1089660418.0,2015.0,pop music
6BTjG-dhf5s,Limbo,Daddy Yankee,1088644641.0,2013.0,Latin pop
L8eRzOYhLuw,Break Free,Ariana Grande,1088552203.0,2014.0,dance-pop
3JWTaaS7LdU,I Will Always Love You,Whitney Houston,1088380309.0,1992.0,
4LfJnj66HVQ,Gucci Gang,Lil Pump,1086864542.0,2017.0,trap music
jGflUbPQfW8,Cheerleader,Felix Jaehn,1077907738.0,2012.0,reggae fusion
I_NVUZNsh2E,Cheerleader,Felix Jaehn,1077907738.0,2012.0,reggae fusion
6-IRnDofg6Y,Gangsta's Paradise,L.V.,1077242464.0,1995.0,gangsta rap
SQCSxqScSVQ,Gangsta's Paradise,L.V.,1077242464.0,1995.0,gangsta rap
fPO76Jlnz6c,Gangsta's Paradise,L.V.,1077242464.0,1995.0,gangsta rap
pB-5XG-DbAA,Stay with Me,Sam Smith,1076521337.0,2014.0,"pop music, rhythm and blues, soul"
SmM0653YvXU,Rain Over Me,Pitbull,1076135952.0,2011.0,Eurodance
bo_efYhYU2A,Shallow,Bradley Cooper,1074221384.0,2018.0,"country music, power pop"
xfdG6vwIGGU,Culpables,Anuel AA,1073755236.0,2018.0,Latin trap
tLcfAnN2QgY,El Perdedor,Enrique Iglesias,1072747513.0,2013.0,Latin pop
DyDfgMOUjCI,Bad Guy,Billie Eilish,1072687911.0,2019.0,"pop music, trap music"
TR3Vdo5etCQ,Don't Speak,No Doubt,1071651398.0,1996.0,"alternative rock, soft rock"
3O1_3zBUKM8,La La La,Sam Smith,1071373750.0,2013.0,"dance-pop, contemporary R&B, UK garage"
bx-fuY7LpSU,Vaina loca,Ozuna,1060527704.0,2018.0,reggaeton
JXRN_LkCa_o,Loyal,Tyga,1058736952.0,2013.0,hip hop music
w8aKNmy04Pc,Sexy and I Know It,LMFAO,1053886992.0,2011.0,electronic dance music
wyx6JDQCslE,Sexy and I Know It,LMFAO,1053886992.0,2011.0,electronic dance music
_Yhyp-_hX2s,Lose Yourself,Eminem,1046587733.0,2002.0,rap rock
C_3d6GntKbk,Pillowtalk,Zayn Malik,1045072249.0,2016.0,rhythm and blues
S-sJp1FfG7Q,Bad and Boujee,Migos,1042011017.0,2016.0,"hip hop music, trap music"
bwmSjveL3Lc,Boombayah,Blackpink,1040497949.0,2016.0,K-pop
CSvFpBOe8eY,Chop Suey!,System of a Down,1031194794.0,2001.0,alternative metal
HMUDVMiITOU,Turn Down for What,DJ Snake,1031193603.0,2013.0,trap music
O-zpOMYRi0w,Fancy,Iggy Azalea,1028242898.0,2014.0,electro hop
kTHNpusq654,Hot n Cold,Katy Perry,1024903285.0,2008.0,"pop music, dance-pop"
9xByMBYDRmY,Sin Contrato,Maluma,1020048291.0,2016.0,
6ONRf7h3Mdk,Sicko Mode,Travis Scott,1013967850.0,2018.0,hip hop music
xFutjZEBTXs,Duele El Corazon,Enrique Iglesias,1007922596.0,2016.0,Latin pop
RB-RcX5DS5A,The Scientist,Coldplay,1004901798.0,2002.0,alternative rock
SR6iYWJxHqs,Grenade,Bruno Mars,1004049357.0,2010.0,"pop music, power pop"
a59gmGkq_pw,Cold Water,MØ,1002483920.0,2016.0,electronic dance music
fyaI4-5849w,Wild Thoughts,Bryson Tiller,1001618059.0,2017.0,pop music
jofNR_WkoCE,The Fox (What Does the Fox Say?),Ylvis,999412185.0,2013.0,"electronic music, pop music, dance music, electro house, electronic dance music, progressive house, novelty music, comedy music"
LDZX4ooRsWs,Anaconda,Nicki Minaj,997137354.0,2014.0,hip hop music
ekzHIouo8Q4,When I Was Your Man,Bruno Mars,996585399.0,2013.0,pop music
ffxKSjUwKdU,No Tears Left to Cry,Ariana Grande,993403205.0,2018.0,"dance-pop, trip hop"
6GUm5g8SG4o,Locked Away,R. City,990191932.0,2015.0,"dancehall, reggae fusion"
YQY9BZBrZds,Locked Away,R. City,990191932.0,2015.0,"dancehall, reggae fusion"
ioNng23DkIM,How You Like That,Blackpink,987564847.0,2020.0,K-pop
Pkh8UtuejGw,Señorita,Camila Cabello,985090644.0,2019.0,pop music
Xk0wdDTTPA0,Borró cassette,Maluma,984651308.0,2015.0,reggaeton
zDo0H8Fm7d0,Meant to Be,Bebe Rexha,981101920.0,2017.0,"contemporary R&B, country pop, trap music"
hcm55lU9knw,Ai Se Eu Te Pego,Cangaia de Jegue,976948938.0,2008.0,sertanejo
0yr75-gxVtM,Me Voy Enamorando,Chino & Nacho,974923866.0,2015.0,
PEGccV-NOm8,Bodak Yellow,Cardi B,970966345.0,2017.0,"hip hop music, trap music"
dT2owtxkU8k,There's Nothing Holdin' Me Back,Shawn Mendes,969241974.0,2017.0,pop rock
tg00YEETFzg,We Found Love,Calvin Harris,962752737.0,2011.0,electro house
BQ0mxQXmLsk,Havana,Young Thug,962625224.0,2017.0,"pop music, Latin music"
euCqAq6BRa4,Let Me Love You,DJ Snake,958131873.0,2016.0,tropical house
V_MXGdSBbAI,Fefe,6ix9ine,955860739.0,2018.0,"trap music, dirty rap"
hMy5za-m5Ew,Filhall,B Praak,955656594.0,2019.0,Indian pop
k0BWlvnBmIE,Wide Awake,Katy Perry,955075687.0,2012.0,dance-pop
Ys7-6_t7OEQ,Beauty and a Beat,Nicki Minaj,951219093.0,2012.0,"electropop, electronic dance music"
JF8BRvqGCNs,Stay,Mikky Ekko,949616742.0,2013.0,rhythm and blues
2jYEz66J_J4,El makinón,Mariah Angeliq,947958502.0,2021.0,reggaeton
dZ0fwJojhrs,Lahore,Guru Randhawa,942355875.0,2017.0,
ypPSrRYOAj4,Boomerang,JoJo Siwa,937097161.0,2016.0,pop music
JWESLtAKKlU,Safari (J Balvin song),J Balvin,936313500.0,2016.0,reggaeton
8WYHDfJDPDc,Dilemma,Nelly,936197299.0,2002.0,contemporary R&B
Jwgf3wmiA04,Drag Me Down,One Direction,935971414.0,2015.0,pop music
lf_wVfwpfp8,Focus,Jamie Foxx,925159444.0,2015.0,"pop music, funk"
fwK7ggA3-bU,One More Night,Maroon 5,913485022.0,2012.0,"reggae, pop music"
LrUvu1mlWco,We Can't Stop,Miley Cyrus,912818253.0,2013.0,"pop music, electropop, contemporary R&B"
DUT5rEU6pqM,Hips Don't Lie,Wyclef Jean,911831752.0,2006.0,"reggaeton, salsa, Latin pop"
bbEoRnaOIbs,23,Mike WiLL Made-It,902832000.0,2013.0,hip hop music
3or3dp3qNQU,Pink Venom,Blackpink,898157235.0,2022.0,K-pop
4N15045PHEA,Pink Venom,Blackpink,898157235.0,2022.0,K-pop
gQlMMD8auMs,Pink Venom,Blackpink,898157235.0,2022.0,K-pop
C8YDXGL-v7w,Pink Venom,Blackpink,898157235.0,2022.0,K-pop
SLsTskih7_I,White Iverson,Post Malone,892389363.0,2015.0,cloud rap
hiP14ED28CA,Wiggle,Jason Derulo,892052109.0,2000.0,"hip hop music, pop music"
_mkeISN9vRY,Fake Love,None,890639756.0,2018.0,K-pop
D_6QmL6rExk,Fake Love,None,890639756.0,2018.0,K-pop
7C2z4GqqS5E,Fake Love,None,890639756.0,2018.0,K-pop
lwk5OUII9Vc,Rolex,Ayo & Teo,887135637.0,2017.0,"hip hop music, trap music"
v2AC41dglnM,Thunderstruck,AC/DC,887079870.0,1990.0,hard rock
W-TE_Ys4iwM,Story of My Life,One Direction,886863355.0,2013.0,folktronica
aSjflT_J0Xo,Adán y Eva,Paulo Londra,883733941.0,2018.0,
8mBHDHIb-kM,Mic Drop,BTS,882462031.0,2017.0,hip hop music
kTlv5_Bs8aw,Mic Drop,BTS,882462031.0,2017.0,hip hop music
TxyHwwYe86Q,Mic Drop,BTS,882462031.0,2017.0,hip hop music
wJnBTPUQS5A,The Spectre,Alan Walker,880354432.0,2017.0,electro house
mWRsgZuwf_8,Demons,Imagine Dragons,879474130.0,2013.0,alternative rock
4JipHEz53sU,Super Bass,Nicki Minaj,879044041.0,2011.0,pop rap
EHkozMIXZ8w,The Monster,Rihanna,877350445.0,2013.0,"hip hop music, pop music"
pBuZEGYXA6E,Idol,BTS,876583501.0,2018.0,"hip hop music, K-pop, Afrobeat"
LfgXdDaryBE,Idol,BTS,876583501.0,2018.0,"hip hop music, K-pop, Afrobeat"
K1scjjbfNsk,Idol,BTS,876583501.0,2018.0,"hip hop music, K-pop, Afrobeat"
EzKkl64rRbM,Ritmo (Bad Boys for Life),Black Eyed Peas,875236359.0,2019.0,Latin pop
Sv6dMFF_yts,We Are Young,Fun,875197788.0,2011.0,indie pop
_CL6n0FJZpk,Still D.R.E.,Snoop Dogg,874062802.0,1999.0,gangsta rap
3YxaaGgTQYM,Bring Me to Life,Evanescence,872653302.0,2003.0,nu metal
2zNSgSzhBfM,Can't Hold Us,Macklemore & Ryan Lewis,867684779.0,2011.0,hip hop music
uuwfgXD8qV8,Part of Me,Katy Perry,864451531.0,2012.0,"dance-pop, power pop"
4NNRy_Wz16k,Ahora Me Llama,Karol G,863575289.0,2018.0,Latin trap
ij_0p_6qTss,The Heart Wants What It Wants,Selena Gomez,861890851.0,2014.0,pop music
8JnfIa84TnU,Solo,Clean Bandit,860766973.0,2018.0,electronic dance music
U0CGsw6h60k,What's My Name?,Drake,858662478.0,2010.0,electro
_wL3Pc-EmjA,"Perdón, perdón",Ha*Ash,854567859.0,2014.0,
1ekZEVeXwek,Into You,Ariana Grande,849367671.0,2016.0,dance-pop
au2n7VVGv_c,Psycho,Post Malone,847337579.0,2018.0,"pop music, contemporary R&B"
nlcIKh6sBtc,Royals,Lorde,845756935.0,2013.0,"electropop, indie pop, art pop"
LFasFq4GJYM,Royals,Lorde,845756935.0,2013.0,"electropop, indie pop, art pop"
lEKOWKcUxdU,Scream & Shout,will.i.am,845461790.0,2012.0,dance music
kYtGl1dX5qI,Scream & Shout,will.i.am,845461790.0,2012.0,dance music
jzD_yyEcp0M,Friends,Marshmello,844880567.0,2018.0,electronic dance music
YJVmu6yttiw,Bangarang,Sirah,840748466.0,2012.0,"electronic rock, moombahcore, complextro"
UceaB4D0jpo,Rockstar,21 Savage,840255099.0,2017.0,trap music
N000qglmmY0,Levitating,Megan Thee Stallion,834432609.0,2020.0,"nu-disco, electro-disco"
WHuBW3qKm9g,Levitating,Megan Thee Stallion,834432609.0,2020.0,"nu-disco, electro-disco"
TUVcZfQe-Kw,Levitating,Megan Thee Stallion,834432609.0,2020.0,"nu-disco, electro-disco"
E3tCHMagPOY,Levitating,Megan Thee Stallion,834432609.0,2020.0,"nu-disco, electro-disco"
R6I7keZgoHc,Levitating,Megan Thee Stallion,834432609.0,2020.0,"nu-disco, electro-disco"
